GeneSymbol,Mix1,Mix2,Mix3,Mix4,Mix5
ADAM12,180.72351,205.5495136,150.1204949,298.3506174,296.938132
ADAM15,54.32102057,85.67165427,101.2658743,34.10686349,95.33907848
ADAM17,316.1900853,337.2888241,354.7463116,400.9851939,434.355381
ADAM18,124.8681093,126.7417081,84.57955992,135.418134,116.5710597
ADAM19,606.6143092,569.869218,259.7819063,664.8176167,443.9482244
ADAM2,39.66250549,27.6207121,27.67325752,45.13033828,37.14353703
ADAM20,208.2270896,189.3497286,137.896678,227.9649748,167.2878619
ADAM21,388.3500167,338.3118206,280.8290279,408.044423,300.7288703
ADAM22,26.50335425,25.93869091,22.32455594,32.40181101,28.90660401
ADAM23,214.4630985,204.8827784,149.4283294,210.6629982,168.0293738
ADAM28,599.6649853,507.8437873,101.5430564,605.8435736,200.4945466
ADAM29,42.92027403,44.15461366,31.54321328,58.5083751,50.87691712
ADAM30,158.8575253,155.2764747,113.6470133,160.6281966,126.9314056
ADAM3A,16.00318252,12.68744735,15.3671081,20.61524033,23.07902935
ADAM5P,257.4887608,258.7641755,151.3454559,277.4470707,190.6950877
ADAM7,36.57826777,41.58512869,31.64348776,42.59838829,41.1624401
ADAM8,244.4599851,314.2630011,373.4158068,532.1157277,639.1781368
ADAM9,160.4732738,337.8638202,591.9278034,448.7709391,1124.616977
ADAMDEC1,351.7709226,507.6668018,1011.75353,446.630648,1824.456385
ADAMTS1,78.96400703,71.92858862,149.5644125,65.56315998,59.82214735
ADAMTS12,273.3900714,251.2350101,168.6913487,317.4867915,230.9923345
ADAMTS13,65.50302931,58.5173972,58.25441162,66.08525896,63.58671921
ADAMTS2,109.704095,107.3778156,85.43305696,124.3617959,104.8564851
ADAMTS3,81.86170488,93.20985745,56.84739551,157.3848107,116.2821717
ADAMTS5,217.7072828,192.1834342,110.6454973,211.2186273,113.3186368
ADAMTS6,113.3252555,109.498881,107.3275395,157.9629182,149.7247474
ADAMTS8,21.86686406,30.91575752,25.76219821,17.16576231,22.34678855
ADAMTSL2,6.802071247,8.629083871,7.846243635,7.095845183,9.465369715
ADAMTSL3,139.6953139,119.3859438,70.50033927,138.5968594,84.86929822
ADAP1,450.9325903,464.9961938,624.1058352,676.0805961,825.7573814
ADAP2,262.0373234,341.313479,508.8694394,339.5565403,738.3089473
ADAR,4085.729554,4338.028722,4585.399524,4077.656611,4425.438238
ADARB1,149.1103105,154.7849221,121.4878608,161.070989,141.9642606
ADARB2,32.55674747,33.9281051,31.96476461,36.15128828,35.90196615
ADAT1,430.8840455,390.4518519,343.8143367,404.1292698,348.4821243
ADCK2,321.188216,302.9402049,268.5949815,261.7281527,224.9565733
ADCK3,826.2369473,938.5727704,604.1561435,875.5880093,800.3428184
ADCY1,110.2519916,114.3501928,77.20607095,112.6668851,95.30791948
ADCY10,101.4110111,95.38628862,62.63255954,110.3298962,83.00032717
ADCY2,192.6901578,158.9797515,103.1299837,193.2982437,115.4762244
ADCY3,325.5300922,350.0274572,338.2698548,297.7768828,406.810146
ADCY6,199.0919091,190.2205032,149.4336421,216.7855153,187.3442151
ADCY7,885.3282714,931.5978297,1627.523821,777.8310367,1107.982621
ADCY8,35.42353355,37.51705304,28.85352684,54.44094286,53.71645805
ADCY9,90.55944638,97.59824756,215.1705896,68.49247346,133.5274815
ADCYAP1,247.0378276,258.0033751,184.1891796,437.262315,338.0008404
ADCYAP1R1,114.6043269,112.780759,126.3860845,108.1634457,110.7094033
ADD1,1339.565737,1193.568071,1017.820474,1187.401812,887.1505449
ADD2,158.3251122,150.7797078,64.01978292,144.9234448,79.7432187
ADD3,6422.520824,5170.629633,3413.667352,4637.214947,2062.318074
ADH1A,87.56244612,96.4329264,77.72644719,104.471426,96.04564746
ADH1B,82.22514771,73.85821901,64.75949134,91.50303639,74.2144993
ADH1C,17.08922988,17.20585299,11.58815045,14.10190783,9.121210114
ADH5,934.5377325,839.8977467,979.9041017,739.2370892,764.4343248
ADH6,89.10149085,84.08877519,66.49414868,94.55000067,76.17325746
ADH7,175.7509445,154.044149,133.6706014,178.8440035,134.6267773
ADI1,1078.78266,1298.412733,999.6352926,1393.399411,1531.13852
ADIPOQ,149.2141092,139.7494087,100.0951003,166.7999884,124.6651653
ADIPOR1,1008.156274,1112.69357,1042.06202,1270.105068,1497.232671
ADIPOR2,1014.419367,1133.906347,1340.703235,1540.376556,1692.316086
ADK,761.230694,718.373751,490.9705671,650.2688627,567.8431212
ADM,186.1880496,394.3395148,343.7489336,1336.196033,1732.09543
ADM2,142.7699394,155.6425757,146.5803739,189.496271,197.9788159
ADNP,1389.699407,1312.630607,1489.595319,1505.156628,1495.972615
ADNP2,510.4315549,511.7031161,450.1784463,582.6444476,565.1620672
ADO,456.4828708,523.3937349,838.9682567,469.22411,773.8860838
ADORA1,143.0442949,148.3313967,149.6356001,151.7864863,158.3025568
ADORA2A,461.9277108,478.7769585,408.7460912,529.1775591,593.9932079
ADORA2B,157.8080513,211.6304007,199.917993,497.3446928,533.9129521
ADORA3,310.2851596,366.2671344,231.663645,667.8173712,757.9848163
ADPGK,2489.477686,2629.401688,2431.508683,2878.943668,3070.415831
ADPRH,45.36923948,53.45357192,69.08626081,58.53824029,83.35312158
ADRA1A,52.56899386,49.09988783,45.41602209,50.90956321,45.13567858
ADRA1B,42.65001678,51.69008898,33.54419306,41.72803954,39.36946916
ADRA1D,39.56701038,43.30295693,27.02464201,44.4546171,38.34766097
ADRA2A,155.190552,134.8425449,88.73417073,185.4335099,128.4362321
ADRA2B,212.6900757,198.6703119,176.8328933,227.0068684,202.7420738
ADRA2C,32.02186893,46.43771793,40.78379574,41.64806204,58.02522372
ADRB1,8.590745355,9.772272699,10.36459912,11.89327113,15.30906075
ADRB2,553.2825186,560.1425371,1258.993961,1117.022735,1168.035297
ADRB3,19.20115962,20.26740161,17.20584028,22.12083725,22.07653834
ADRBK1,954.8092184,892.2168027,1104.53771,820.8303324,829.4316516
ADRBK2,261.2585441,309.3804999,360.3067603,322.52805,430.948931
ADRM1,1120.287564,1181.333867,1322.726151,975.492169,1145.9933
ADSL,1447.894797,1341.58125,1221.220296,1079.994986,894.233181
ADSS,1109.577409,1030.595084,1202.379952,1054.658055,992.1310941
AEBP1,71.27449217,83.73269903,46.89880194,70.90383309,56.14062136
AEN,272.7848693,291.1856632,220.6896309,229.5271729,205.6539466
AES,1939.909163,1773.144594,1424.735174,997.104414,655.9122055
AFAP1,24.54953839,26.7909437,23.13926253,18.5458351,16.8676424
AFF1,291.3719647,307.0585832,227.4918456,316.3476156,285.2297713
AFF2,53.23600301,50.33204881,34.99522896,56.4749493,41.60660675
AFF3,12.42127074,10.96155545,6.866384514,11.58486017,7.782138024
AFF4,180.61775,194.4584337,153.3891617,267.5243763,257.2624864
AFG3L2,677.7190183,692.6332702,618.2475566,586.9192552,538.8019235
AFM,149.6808833,143.4014407,82.87224661,149.0880794,94.63168042
AFP,74.99716694,82.48900886,65.65877958,72.02444609,71.07687982
AFTPH,3786.224584,3527.662981,2136.343371,3766.404009,2521.490359
AGA,543.2934456,642.5401366,381.3653445,439.8307568,343.4586409
AGAP1,147.5157288,126.3567263,166.0137359,150.5711929,110.3507264
AGAP2,99.49211324,106.4074999,93.64837944,90.99833356,93.26422306
AGBL2,142.9018583,132.4607317,88.82899509,127.9011753,87.1937897
AGBL5,49.69600899,64.99700294,50.37392656,41.20728426,47.98952552
AGER,42.49914626,49.25972405,35.75583686,39.10392479,41.42400167
AGFG1,475.418036,518.511636,582.7839014,525.9454043,639.5761755
AGFG2,172.2458494,155.1052205,131.5541403,142.4799763,124.7797771
AGGF1,482.3881892,513.6904138,614.3704832,448.166174,574.3376143
AGK,537.7196607,530.0163409,674.8457137,400.9376048,378.3502939
AGL,593.5334166,514.2717779,560.0142203,526.5794225,454.2544065
AGPAT1,1353.914552,1278.681738,981.0622139,1273.366522,1035.898491
AGPAT2,455.6590757,461.8953451,398.7372884,539.1161387,503.825236
AGPAT3,188.1277979,229.4640034,238.8235702,169.3453648,237.2366376
AGPAT4,93.33275767,112.408332,207.4390732,91.7985567,182.3348415
AGPAT5,1410.545584,1331.277179,739.3001867,1207.347247,506.4771538
AGPS,657.0264578,643.6310069,716.0481091,623.2100351,668.4090913
AGR2,5.629834038,5.889417703,7.02832284,7.912676045,8.521929859
AGRN,258.7327727,333.592983,360.6419564,297.2524346,491.1529105
AGRP,224.7314071,228.0452875,117.7097409,214.5686354,118.8228238
AGT,269.974708,244.9430479,169.6599617,272.4615929,184.00448
AGTPBP1,562.9075976,603.0815563,913.3805216,912.0491656,1068.090399
AGTR1,161.5482637,156.7512305,96.64372379,157.858886,104.4838395
AGTR2,56.59209882,57.49103063,37.02616759,68.08052971,54.81940299
AGXT,11.29822213,11.88317897,11.9483995,9.571683637,9.758428838
AGXT2L1,108.6135031,100.7408457,56.76297791,104.5206969,66.77459136
AHCTF1,133.3412906,153.8234831,111.8682773,197.8531666,226.9680853
AHCY,711.2101347,724.9567582,682.7610618,656.9912755,1020.231487
AHCYL1,1038.494659,1144.279299,1315.996116,994.3702708,1284.796238
AHCYL2,425.1792797,419.798631,314.2585086,410.951,364.1890776
AHDC1,102.4218462,108.6251901,125.2888538,82.60742749,97.66197073
AHI1,429.1507696,424.9462836,283.5416279,458.1350661,308.8037212
AHNAK,825.2863757,788.9644325,922.5810496,605.1249659,581.8357712
AHNAK2,76.05478709,69.27029968,62.24873297,78.98832529,62.0043301
AHR,156.9053663,245.3681044,396.0216944,258.7066329,561.826153
AHSA1,1020.078463,1097.69209,1314.131338,873.5712861,1054.959097
AHSG,25.34667432,30.29808753,30.53560863,23.05568439,27.67126041
AHSP,106.5724019,108.7571015,86.24398008,135.4122704,131.1836902
AICDA,82.20393162,95.37822146,61.33497902,78.87566166,58.86545626
AIF1,437.1365868,822.083209,1778.205196,1577.991266,3444.281038
AIFM1,779.7604655,771.2674093,688.4106185,688.2693872,694.6735588
AIM1,2719.579595,2237.394,1849.552937,2290.194871,1825.515622
AIM1L,31.25311502,38.7478526,28.45620864,32.43690444,30.03965986
AIM2,1343.275901,867.8888836,521.5171681,960.559311,586.8791408
AIMP1,948.9663313,891.751919,757.3933063,723.8330702,552.762151
AIMP2,1057.060308,1151.473663,1120.793392,1200.065412,1184.720293
AIP,1314.670098,1199.545895,1012.632534,962.3010432,801.5406557
AIPL1,125.2053382,127.8583118,112.354728,122.877393,110.9123238
AIRE,63.05562652,77.27354444,54.00381682,57.26528392,58.25973062
AJAP1,77.64694245,68.94817435,43.08507979,86.09663898,63.80672511
AK1,334.9899061,336.0956864,322.0567683,242.1582756,223.2614626
AK2,682.9275292,641.2884782,633.6814399,653.1367259,614.767539
AK5,272.4219389,251.8093122,146.976722,222.7726117,117.5959084
AKAP1,620.9877147,556.7424221,409.7114314,508.8032345,378.25714
AKAP10,233.7263599,247.8994544,275.3741922,228.4847068,275.5240221
AKAP11,1888.984775,1599.999322,1409.620327,1503.675638,1330.396596
AKAP12,90.17465654,131.3414401,107.1967926,522.0548269,441.987826
AKAP13,928.2172622,893.4164399,1010.138143,834.0068957,859.5855064
AKAP3,40.41798396,44.35541672,36.17048748,41.22453631,40.64486366
AKAP4,34.19040796,35.0238085,45.2104872,36.41861554,43.83349056
AKAP5,74.01190654,85.3096808,90.85639341,70.07263034,60.92418473
AKAP6,51.38367871,48.07200846,56.16790733,74.67462246,75.32803915
AKAP7,318.0356708,293.1074567,302.9189936,221.3711273,197.8442312
AKAP8,718.4486066,680.8535379,617.7921839,706.6368138,636.4729929
AKAP8L,511.2548554,483.2553339,376.0393004,420.2631878,342.8819199
AKAP9,282.3192919,258.2932012,258.6442589,273.0191475,245.7292937
AKIRIN1,716.2599969,718.5204095,662.1142306,739.8214648,762.286446
AKR1A1,1449.570661,1715.981298,1549.50742,1330.510053,1630.685635
AKR1B1,4111.100024,3732.07493,4695.653114,2821.321649,3173.823319
AKR1B10,145.9360161,132.5491886,103.0551937,128.9896488,90.78788178
AKR1C1,157.0293734,231.8387237,202.0699635,167.4569729,251.1743023
AKR1C2,20.68767421,22.0115797,19.41341161,20.76972924,19.81485612
AKR1C3,238.431512,335.3690614,1641.847921,46.04643342,372.4596136
AKR1C4,10.81883768,11.8540063,12.92579484,7.943954819,9.595370639
AKR1D1,74.82166739,69.6053406,51.11074359,83.87251932,62.75049594
AKR7A2,821.3751317,780.9975835,708.6575829,665.8080348,561.1997206
AKR7A3,202.4702963,202.5742857,207.5686042,157.7428799,152.230666
AKT1,634.8563371,607.9362984,866.5499405,711.6118707,895.0751366
AKT2,45.41529398,49.33133385,55.36510736,24.79281398,34.0154277
AKT3,161.5634352,164.7453822,129.5387165,149.8350158,125.695358
AKTIP,954.5722722,919.9076894,706.7108437,681.5339921,547.6363426
ALAD,139.4291306,166.6204045,187.7857367,122.0069321,191.3662114
ALAS1,354.014841,580.217553,1080.158109,836.1718527,1656.35234
ALAS2,9.545630869,9.845700815,8.995053417,9.542041916,9.185267738
ALB,63.71168356,61.13326036,45.28963944,63.50430614,47.31539011
ALCAM,438.7216866,607.1648042,676.8255316,704.9879043,1182.353572
ALDH18A1,858.5492833,848.7863716,593.6055358,614.9695006,350.9426017
ALDH1A1,85.63821399,152.8197536,343.658475,348.7639936,663.0134756
ALDH1A2,74.10007799,109.560987,127.0226583,107.2731099,205.4236246
ALDH1A3,17.56953894,21.99962192,15.71909337,19.64659381,20.57145499
ALDH1B1,208.2105505,207.6764654,133.7089534,182.4085331,132.235629
ALDH1L1,104.914083,100.9705324,96.99734381,82.35489835,68.90019671
ALDH2,581.9110389,945.1069021,1676.558502,1032.456538,2201.03949
ALDH3A1,25.57461594,31.16493498,38.98855616,21.42979774,32.28974988
ALDH3A2,384.639823,449.547511,509.2213067,383.3609576,554.3495798
ALDH3B1,139.6938994,181.8901227,284.6685361,256.6003481,403.3861975
ALDH3B2,71.26652026,68.92383806,49.77860101,79.25840833,60.90434425
ALDH4A1,53.40291247,59.10820044,84.38871308,74.20581938,107.4907355
ALDH5A1,139.2706711,135.6561673,113.479178,99.60008623,84.77265904
ALDH6A1,573.7693713,577.1647962,409.1492058,474.4237183,393.2092275
ALDH7A1,100.1303322,108.1552629,67.12173533,84.04739126,73.47125868
ALDH8A1,71.95520299,82.09020395,63.81352219,63.01558498,57.19801143
ALDH9A1,1463.494507,1389.27433,1743.056936,1387.595797,1913.682709
ALDOA,6004.683246,6481.08438,7473.347717,5276.522504,6958.751825
ALDOB,17.79742148,18.97428999,15.21259227,19.11098607,17.10160097
ALDOC,708.4068949,882.504156,768.5398014,463.7848891,515.1596053
ALG12,115.632518,128.9231458,143.1766012,67.82728041,90.56300744
ALG13,321.2430289,332.9607474,315.8848549,286.0735351,270.9446704
ALG3,575.046353,630.7922492,484.4842993,424.3379072,386.2802155
ALG5,2228.821388,2351.957617,1625.702415,1923.989949,1317.750177
ALG6,1252.35895,1128.545386,877.8429047,1159.38491,759.5612438
ALG8,971.0725017,1022.88334,743.3507676,799.4317122,618.6271994
ALG9,481.2313461,545.3066462,351.4425619,372.0835988,286.8180413
ALK,97.97101918,104.5802144,96.95526265,94.01460685,105.6003416
ALKBH1,667.4397083,694.0226145,662.0584891,665.4953856,680.2418282
ALKBH4,142.9330174,164.514464,181.5367366,120.5748502,147.3941266
ALLC,24.07971948,30.34149561,33.29052736,24.32218633,38.00625951
ALMS1,212.1459474,198.8124689,185.0884532,196.1026383,162.3006458
ALOX12,32.14680171,35.74710264,36.43039605,43.29930464,49.13065556
ALOX12B,17.97070814,17.52896816,22.47701592,17.6746304,20.50102707
ALOX12P2,57.82532543,60.14308363,56.91408625,68.58230993,68.94315546
ALOX15,16.76214805,136.9409942,84.87239292,118.5853065,342.2024755
ALOX15B,136.8688194,154.1268853,156.35928,169.5628074,235.2036898
ALOX5,819.6563077,587.3728797,415.911906,1385.043852,1004.744153
